accuracy;context;datetaken;datetakengranularity;datetakenunknown;description;farm;geo_is_contact;geo_is_family;geo_is_friend;geo_is_public;height_c;id;isfamily;isfriend;ispublic;latitude;license;longitude;owner;ownername;place_id;secret;server;species_word;tags;title;url_c;width_c;woeid
0;0;2018-12-24 11:25:54;0;0;b'Pas content le cygne tubercul\xc3\xa9 fait fuir le cygne noir ! ';5;;;;;500;31781265637;0;0;1;0.0;0;0.0;23429100@N07;6franc6;;ced640bdde;4830;Cygnus olor;b'occitanie languedoc gard 30 petitecamargue d\xc3\xa9cembre 2018 6franc6 v\xc3\xa9lo kalkoff vae roadbike';b'Cygne tubercule\xcc\x81, Cygne noir - IMG_4052';https://farm5.staticflickr.com/4830/31781265637_ced640bdde_c.jpg;800;
0;0;2018-12-24 11:24:02;0;0;b'Pas content le cygne tubercul\xc3\xa9 il fait fuir le cygne noir ! ';8;;;;;500;45997986324;0;0;1;0.0;0;0.0;23429100@N07;6franc6;;52b21cbff6;7903;Cygnus olor;b'occitanie languedoc gard 30 petitecamargue d\xc3\xa9cembre 2018 6franc6 v\xc3\xa9lo kalkoff vae roadbike';b'Cygne tubercule\xcc\x81, Cygne noir - IMG_4048';https://farm8.staticflickr.com/7903/45997986324_52b21cbff6_c.jpg;800;
0;0;2018-12-24 11:23:56;0;0;"b""Pas content le cygne tubercul\xc3\xa9, il va faire fuir le cygne noir ! \nFaut-il croire que de la col\xc3\xa8re peut arriver la beaut\xc3\xa9 ....?\nJ'en doute !!!""";8;;;;;500;45997984654;0;0;1;0.0;0;0.0;23429100@N07;6franc6;;a3ae0c2a32;7867;Cygnus olor;b'occitanie languedoc gard 30 petitecamargue d\xc3\xa9cembre 2018 6franc6 v\xc3\xa9lo kalkoff vae roadbike';b'Cygne tubercule\xcc\x81 - IMG_4047';https://farm8.staticflickr.com/7867/45997984654_a3ae0c2a32_c.jpg;800;
0;0;2018-12-15 13:23:39;0;0;b'';5;;;;;499;31751370437;0;0;1;0.0;0;0.0;23429100@N07;6franc6;;038a983f3d;4825;Cygnus olor;b'occitanie languedoc gard 30 petitecamargue d\xc3\xa9cembre 2018 6franc6 v\xc3\xa9lo kalkoff vae roadbike';b'Tadorne casarca, Tadorne de belon, Cygne tubercule\xcc\x81 - IMG_3711';https://farm5.staticflickr.com/4825/31751370437_038a983f3d_c.jpg;800;
0;0;2018-12-15 12:52:27;0;0;b'';8;;;;;363;46625099202;0;0;1;0.0;0;0.0;23429100@N07;6franc6;;7d31569970;7913;Cygnus olor;b'occitanie languedoc gard 30 milhaud d\xc3\xa9cembre 2018 6franc6 v\xc3\xa9lo kalkoff vae roadbike';b'Cygne tubercule\xcc\x81, Cigogne blanche, Tadorne de belon - IMG_3666';https://farm8.staticflickr.com/7913/46625099202_7d31569970_c.jpg;800;
0;0;2018-12-29 12:38:20;0;1;b'';8;;;;;450;39704069213;0;0;1;0.0;0;0.0;141676559@N06;Martine BERRY;;7c5af632f0;7862;Cygnus olor;b'nikon d810 bird oiseaux 150600sigma';b'CYGNE TUBERCULE';https://farm8.staticflickr.com/7862/39704069213_7c5af632f0_c.jpg;800;
0;0;2018-12-31 10:55:16;0;0;b'';5;;;;;499;46529390712;0;0;1;0.0;0;0.0;23429100@N07;6franc6;;4df0e0f406;4857;Cygnus olor;b'2018 d\xc3\xa9cembre 6franc6 vaud nyon lac l\xc3\xa9man automne ornithoch suisse';b'Cygne tubercule\xcc\x81 - IMG_4400';https://farm5.staticflickr.com/4857/46529390712_4df0e0f406_c.jpg;800;
0;0;2018-12-27 13:03:05;0;0;b'';5;;;;;459;32678269338;0;0;1;0.0;0;0.0;144646741@N07;HJP68;;10b7cd4d15;4843;Cygnus olor;b'';b'Cygne Tubercule / Schwan';https://farm5.staticflickr.com/4843/32678269338_10b7cd4d15_c.jpg;800;
0;0;2018-12-27 13:02:27;0;0;b'';5;;;;;500;32678269278;0;0;1;0.0;0;0.0;144646741@N07;HJP68;;ed800349bd;4825;Cygnus olor;b'';b'Cygne Tubercule / Schwan';https://farm5.staticflickr.com/4825/32678269278_ed800349bd_c.jpg;800;
0;0;2018-12-01 13:00:49;0;0;b'Rade de Gen\xc3\xa8ve.';5;;;;;534;44713288410;0;0;1;0.0;0;0.0;144736586@N06;ericchevalier;;201504b3f2;4842;Cygnus olor;b'';b'Cygne tubercule\xcc\x81 (Cygnus olor)';https://farm5.staticflickr.com/4842/44713288410_201504b3f2_c.jpg;800;
0;0;2018-10-20 15:02:00;0;0;b'Cygne tubercul\xc3\xa9 ( Cygnus olor )';8;;;;;534;45800460014;0;0;1;0.0;0;0.0;156451883@N08;Alain Denis;;0b5d2305bd;7837;Cygnus olor;b'cygnetubercul\xc3\xa9 cygnusolor oiseaudeau';b'Un jeune cygne gris';https://farm8.staticflickr.com/7837/45800460014_0b5d2305bd_c.jpg;800;
0;0;2018-12-22 15:06:10;0;0;b'Cygne tubercul\xc3\xa9 (Cygnus color)';5;;;;;534;44697161470;0;0;1;0.0;0;0.0;52486375@N03;aurelien.ebel;;d1069d7509;4806;Cygnus olor;b'alsace anatidae anatid\xc3\xa9s animal ans\xc3\xa9riformes aves basrhin birds cygnetubercul\xc3\xa9 cygnusolor france lawantzenau muteswan oiseau';b'Cygne tubercul\xc3\xa9 (Cygnus color)';https://farm5.staticflickr.com/4806/44697161470_d1069d7509_c.jpg;800;
0;0;2018-12-22 15:05:51;0;0;b'Cygne tubercul\xc3\xa9 (Cygnus color)';5;;;;;534;46514350631;0;0;1;0.0;0;0.0;52486375@N03;aurelien.ebel;;dbc643a272;4809;Cygnus olor;b'alsace anatidae anatid\xc3\xa9s animal ans\xc3\xa9riformes aves basrhin birds cygnetubercul\xc3\xa9 cygnusolor france lawantzenau muteswan oiseau';b'Cygne tubercul\xc3\xa9 (Cygnus color)';https://farm5.staticflickr.com/4809/46514350631_dbc643a272_c.jpg;800;
16;0;2018-12-26 12:28:18;0;0;b'';8;0.0;0.0;0.0;1.0;321;45598173655;0;0;1;48.771691;0;2.453447;21371584@N03;Michel NOËL 1,3 M + views .Thanks to visits;iJ8Tp5NUV7IEFOGpOw;9edeba1dec;7818;Cygnus olor;b'cr\xc3\xa9teil valdemarne \xc3\xaeledefrance france michelno\xc3\xabl cygnetubercul\xc3\xa9 cygnusolor muteswan';b'Cygne tubercul\xc3\xa9 - Cygnus olor - Mute Swan : Michel NOE\xcc\x88L \xc2\xa9 2018-8406.jpg';https://farm8.staticflickr.com/7818/45598173655_9edeba1dec_c.jpg;800;55863461.0
