Species;scientific_name
Cygne tuberculé;Cygnus olor
Cygne de Bewick;Cygnus columbianus
Cygne chanteur;Cygnus cygnus
Oie des moissons;Anser fabalis
Oie à bec court;Anser brachyrhynchus
Oie rieuse;Anser albifrons
Oie cendrée;Anser anser
Bernache nonnette;Branta leucopsis
Bernache cravant;Branta bernicla
Bernache du Canada;Branta canadensis
Ouette d'Egypte;Alopochen aegyptiaca
Tadorne casarca;Tadorna ferruginea
Tadorne de Belon;Tadorna tadorna
Canard siffleur;Anas penelope
Canard chipeau;Anas strepera
Sarcelle d'hiver;Anas crecca
Canard colvert;Anas platyrhynchos
Canard pilet;Anas acuta
Sarcelle d'été;Anas querquedula
Canard souchet;Anas clypeata
Nette rousse;Netta rufina
Fuligule milouin;Aythya ferina
Fuligule à bec cerclé;Aythya collaris
Fuligule nyroca;Aythya nyroca
Fuligule morillon;Aythya fuligula
Fuligule milouinan;Aythya marila
Eider à duvet;Somateria mollissima
Érismature rousse;Oxyura jamaicensis
Érismature à tête blanche;Oxyura leucocephala
Harelde boréale;Clangula hyemalis
Macreuse noire;Melanitta nigra
Macreuse brune;Melanitta fusca
Garrot à oeil d’or;Bucephala clangula
Harle piette;Mergellus albellus
Harle huppé;Mergus serrator
Harle bièvre;Mergus merganser
Perdrix rouge;Alectoris rufa
Perdrix grise;Perdix perdix
Caille des blés;Coturnix coturnix
Faisan de Colchide;Phasianus colchicus
Faisan vénéré;Syrmaticus reevesii
Plongeon catmarin;Gavia stellata
Plongeon arctique;Gavia arctica
Plongeon imbrin;Gavia immer
Grèbe castagneux;Tachybaptus ruficollis
Grèbe huppé;Podiceps cristatus
Grèbe jougris;Podiceps grisegena
Grèbe esclavon;Podiceps auritus
Grèbe à cou noir;Podiceps nigricollis
Puffin cendré;Calonectris diomedea
Fulmar boréal;Fulmarus glacialis
Océanite tempête;Hydrobates pelagicus
Grand Cormoran;Phalacrocorax carbo
Cormoran pygmée;Microcarbo pygmeus
Butor étoilé;Botaurus stellaris
Blongios nain;Ixobrychus minutus
Bihoreau gris;Nycticorax nycticorax
Crabier chevelu;Ardeola ralloides
Héron garde-boeufs;Bubulcus ibis
Aigrette garzette;Egretta garzetta
Grande Aigrette;Ardea alba
Héron cendré;Ardea cinerea
Héron pourpré;Ardea purpurea
Cigogne noire;Ciconia nigra
Cigogne blanche;Ciconia ciconia
Ibis falcinelle;Plegadis falcinellus
Ibis chauve;Geronticus eremita
Spatule blanche;Platalea leucorodia
Flamant rose;Phoenicopterus roseus
Bondrée apivore;Pernis apivorus
Élanion blanc;Elanus caeruleus
Milan noir;Milvus migrans
Milan royal;Milvus milvus
Gypaète barbu;Gypaetus barbatus
Vautour percnoptère;Neophron percnopterus
Vautour fauve;Gyps fulvus
Vautour moine;Aegypius monachus
Circaète Jean-le-Blanc;Circaetus gallicus
Busard des roseaux;Circus aeruginosus
Busard Saint-Martin;Circus cyaneus
Busard cendré;Circus pygargus
Autour des palombes;Accipiter gentilis
Épervier d'Europe;Accipiter nisus
Buse variable;Buteo buteo
Buse féroce;Buteo rufinus
Pygargue à queue blanche;Haliaeetus albicilla
Aigle botté;Hieraaetus pennatus
Aigle royal;Aquila chrysaetos
Aigle criard;Aquila clanga
Balbuzard pêcheur;Pandion haliaetus
Faucon crécerelle;Falco tinnunculus
Faucon kobez;Falco vespertinus
Faucon émerillon;Falco columbarius
Faucon hobereau;Falco subbuteo
Faucon pèlerin;Falco peregrinus
Râle d'eau;Rallus aquaticus
Marouette ponctuée;Porzana porzana
Marouette poussin;Porzana parva
Marouette de Baillon;Porzana pusilla
Râle des genêts;Crex crex
Gallinule poule-d'eau;Gallinula chloropus
Foulque macroule;Fulica atra
Talève sultane;Porphyrio porphyrio
Grue cendrée;Grus grus
Outarde canepetière;Tetrax tetrax
Outarde de Macqueen;Chlamydotis macqueenii
Outarde barbue;Otis tarda
Huîtrier pie;Haematopus ostralegus
Échasse blanche;Himantopus himantopus
Avocette élégante;Recurvirostra avosetta
Oedicnème criard;Burhinus oedicnemus
Glaréole à collier;Glareola pratincola
Petit Gravelot;Charadrius dubius
Grand Gravelot;Charadrius hiaticula
Gravelot à collier interrompu;Charadrius alexandrinus
Pluvier guignard;Charadrius morinellus
Pluvier doré;Pluvialis apricaria
